castell,castell_short, punts_carregat, punts_descarregat
PILAR DE CINC,Pde5, 135, 155
QUATRE DE SET AMB AGULLA / PILAR,4de7a, 250, 275
CINC DE SET,5de7,265, 305
TRES DE SET PER SOTA,3de7xs,315,335
QUATRE DE SIS NET,4de6net, 0, 0
TRES DE SIS NET,3de6net, 0, 0
PILAR DE QUATRE,Pde4, 0, 0
QUATRE DE SIS,4de6, 0, 0
TRES DE SIS,3de6, 0, 0
QUATRE DE SIS AMB AGULLA / PILAR,4de6a, 0, 0
TRES DE SIS PER SOTA,3de6xs, 0, 0
TRES DE SET,3de7, 185, 210
DOS / TORRE DE SET,2de7,385,440
DOS / TORRE DE SIS,2de6, 120, 140
QUATRE DE VUIT,4de8,400,460
TRES DE VUIT,3de8,445,510
DOS / TORRE DE VUIT AMB FOLRE,2de8f,580,665
PILAR DE QUATRE CAMINANT,Pde4cam, 0, 0
CINC DE SIS NET,5de6net, 0, 0
PILAR DE CINC PER SOTA,Pde5xs, 135, 155
CINC DE SIS,5de6, 0, 0
QUATRE DE SET,4de7, 175, 200
DOS / TORRE DE SIS NET,2de6net, 0, 0
QUATRE DE NOU AMB FOLRE,4de9f,920,1055
TRES DE NOU AMB FOLRE,3de9f,965,1110
QUATRE DE SIS AMB AGULLA /  PILAR NET,4de6anet, 0, 0
PILAR DE QUATRE PER SOTA,Pde4xs, 0, 0
TRES DE SIS PER SOTA NET,3de6xs, 0, 0
NOU DE SET,9de7,365,420
CINC DE VUIT,5de8,640,735
DOS / TORRE DE NOU AMB FOLRE I MANILLES,2de9fm, 1330,1530
NOU DE SIS,9de6, 165, 190
QUATRE DE SET NET,4de7net, 175, 200
TRES DE SET NET,3de7net, 185, 210
PILAR DE QUATRE NET,Pde4net, 0, 0
TRES DE SIS AMB AGULLA / PILAR NET,3de6anet, 0, 0
PILAR DE QUATRE PER SOTA CAMINANT,Pde4xscam, 0, 0
TRES DE SIS AMB AGULLA / PILAR,3de6a, 0, 0
QUATRE DE VUIT AMB AGULLA / PILAR,4de8a, 700, 770
PILAR DE SET AMB FOLRE,Pde7f,610,695 
PILAR DE SIS,Pde6,425,485
PILAR DE CINC CAMINANT,Pde5cam, 135, 155
TRES DE DEU AMB FOLRE I MANILLES,3de10fm,2130,2450
QUATRE DE NOU AMB FOLRE I AGULLA / PILAR,4de9fa,1630,1800
PILAR DE VUIT AMB FOLRE I MANILLES,Pde8fm,1395,1605
DOS / TORRE DE VUIT SENSE FOLRE,2de8, 2080, 2395
QUATRE DE NOU SENSE FOLRE,4de9,2015,2315
CINC DE NOU AMB FOLRE,5de9f,1515,1740
DOS / TORRE DE SIS PER SOTA,2de6xs, 0, 0
SET DE SIS,7de6, 0, 0
TRES DE SET AMB AGULLA / PILAR,3de7a, 240, 265
TRES DE VUIT PER SOTA,3de8xs,1325,1460
SIS DE SIS,6de6, 0, 0
TRES DE NOU SENSE FOLRE,3de9,2565,2950
PILAR DE QUATRE PER SOTA NET,Pde4xsnet, 0, 0
DOS / TORRE DE SET AMB FOLRE,2de7f, 0, 0
NOU DE SIS NET,9de6net, 0, 0
NOU DE VUIT,9de8,1210,1390
PILAR DE SIS PER SOTA,Pde6xs, 425, 485
PILAR DE CINC NET,Pde5net, 0, 0
DOS / TORRE DE NOU SENSE MANILLES,2de9f,2330,2675
PILAR DE NOU FOLRE MANILLES PUNTALS,Pde9fmp,2445,2810
PILAR DE CINC AMB FOLRE,Pde5f, 0, 0
TRES DE VUIT AMB AGULLA / PILAR,3de8a,730,805 
DOTZE DE SET,12de7, 0, 0
DOS / TORRE DE SET PER SOTA,2de7xs, 0, 0
TRES DE NOU AMB FOLRE I AGULLA / PILAR,3de9fa,1680,1855
CINC DE SET AMB AGULLA / PILAR,5de7a, 0, 0
CINC DE SIS AMB AGULLA / PILAR,5de6a, 0, 0
SET DE SET,7de7, 250, 290
CINC DE VUIT AMB AGULLA / PILAR,5de8a,765,845
SET DE SIS AMB DUES AGULLES / PILARS,7de6a, 0, 0
QUATRE DE SET PER SOTA,4de7xs, 0, 0
SET DE VUIT,7de8,550,635
SET DE SIS NET,7de6net, 0, 0
PILAR DE SIS AMB FOLRE,Pde6f, 0, 0
SET DE NOU AMB FOLRE,7de9f,1465,1685
VUIT DE SIS,8de6, 0, 0
DOTZE DE SIS,12de6, 0, 0
QUATRE DE SIS PER SOTA,4de6xs, 0, 0
PILAR DE SET AMB FOLRE I MANILLES,Pde7fm, 0, 0
TRES DE SET AMB AGULLA / PILAR NET,3de7anet, 240, 265
QUATRE DE DEU AMB FOLRE I MANILLES,4de10fm,2215,2550
QUATRE DE SET AMB AGULLA / PILAR NET,4de7anet, 250, 275
TRES DE VUIT AMB FOLRE,3de8f, 0, 0
SIS DE SET AMB AGULLA / PILAR,6de7a, 0, 0
SIS DE SET,6de7, 0, 0
ALTRES,altres, 0, 0
SET DE VUIT AMB AGULLA / PILAR,7de8a,740,815
SET DE SET AMB AGULLA/PILAR,7de7a, 0, 0
VUIT DE SET,8de7, 0, 0
DEU DE SET,10de7, 0, 0
VUIT DE SIS AMB AGULLA / PILAR,8de6a, 0, 0
DOS / TORRE DE VUIT AMB FOLRE I MANILLES,2de8fm, 0, 0
