colla, població
Bordegassos de Vilanova, Vilanova i la Geltrú
Colla Jove de Vilanova (1982-1993), Vilanova i la Geltrú
Xiquets de la Vila dÂ´Alcover (1984-2007), Alcover
Castellers de Vilafranca, Vilafrana
Colla Joves Xiquets de Valls, Valls
Xiquets de Reus, Reus
Nois de la Torre, Torredembarra
Castellers dÂ´Altafulla, Altafulla
Xiquets del Serrallo, Tarragona
Castellers de Castelldefels, Castelldefels
Castellers de Terrassa, Terrassa
Castellers de Barcelona, Barcelona
Colla Jove Xiquets de Tarragona, Tarragona
Colla Vella dels Xiquets de Valls, Valls
Nens del Vendrell, El Vendrell
Xicots de Vilafranca, Vilafranca
Xiquets de Tarragona, Tarragona
Minyons de Terrassa, Terrassa
Vailets de Gelida (1986-1999), Gelida
Castellers de Sant Pere i Sant Pau, Tarragona
Castellers de Santa Coloma, Santa Coloma
Castellers de Cornellà, Cornellà
Xics de Granollers, Granollers
Xiquets de Vila-Seca (1991-1999), Vila-seca
Castellers de Montcada i Reixac (1991-1998), Montacada i Reixac
Ganxets de Reus (1992-2003), Reus
Castellers de Mollet, Mollet
Castellers de L'Albera (1996-2002), L'Alberta
Castellers del Riberal, El Riberal
Moixiganguers d´Igualada, Igualada
Castellers de la Vila de Gràcia, Barcelona
Castellers de l'Hospitalet (1997-2003), L'Hospitalet
Colla Castellera de Figueres, Figueres
Al·lots de Llevant, Manacor
Torraires de Montblanc, Montblanc
Castellers de Mallorca, Mallorca
Castellers de Sants, Barcelona
Castellers de Sant Feliu, Sant Feliu
Capgrossos de Mataro, Mataró
Castellers de Sarrià (2000-2004), Barcelona
Castellers de Badalona, Badalona
Castellers de Gavà (1994-2004), Gavà
Castellers d'Esplugues, Esplugues
Tirallongues de Manresa, Manresa
Castellers de Sabadell, Sabadell
Vailets de Ripollet (1996-2006), Ripollet
Castellers de Rubí, Rubí
Castellers de Lleida, Lleida
Nyerros de la Plana, Manlleu
Sagals d'Osona, Vic
Castellers de Sant Andreu de la Barca (1996-2006), Sant Andreu de la Barca
Castellers del Poble-sec, Barcelona
Castellers de Sant Cugat, Sant Cugat
Colla Nova del Vendrell (1993-2003), El Vendrell
Castellers de Cerdanyola, Cerdanyola
Marrecs de Salt, Salt
Xiquets de Cambrils (1994-2001), Cambrils
Castellers d'Esparreguera, Esparreguera
Castellers de Sant Boi (1994-2004), Sant Boi
Colla Jove de Castellers de Sitges, Sitges
Castellers de Caldes de Montbui, Caldes de Montbui
Castellers de Martorell (1997-2002), Martorell
Colla Jove de l'Hospitalet, L'Hospitalet
Angelets del Vallespir, Vallespir
Castellers de la Sagrada Familia, Barcelona
Xerrics d'Olot, Olot
Matossers de Molins de Rei, Molins de Rei
Joves del Raiguer (2003-2004), Alaró
Minyons de l'Arboç, L'Arboç
Margeners de Guissona, Guissona
Salats de Súria, Súria
Colla Castellera La Global de Salou (2009-2012), Salou
Colla Jove Xiquets de Vilafranca, Vilafranca
Castellers de Solsona, Solsona
Colla Castellera Jove de Barcelona, Barcelona
Arreplegats de la Zona Universitària, Barcelona
Emboirats de la Universitat de Vic, Vic
Ganàpies de la UAB, Bellaterra
Passerells del TCM, Mataró
Xoriguers de la UdG, Girona
Marracos de la Universitat de Lleida, Lleida
Pataquers de la URV, Tarragona
Castellers de les Roquetes, Roquetes
Xiquets d'Alcover, Alcover
Castellers de Berga, Berga
Pallagos del Conflent, Prada de Conflent
Vailets de l'Empordà, Castelló d'Empúries
Engrescats de URL, Lleida
Llunàtics UPC Vilanova, Vilanova i la Geltrú
Brivalls de Cornudella, Cornudella
Xics Caleros, Ametlla de Mar
Xiqüelos i Xiqüeles del Delta, Sant Carles de la Ràpita
Castellers de Sant Vicenç dels Horts, Sant Vicenç dels Horts
Laietans de Gramenet, Santa Coloma de Gramanet
Vailets de Gelida, Gelida
Castellers de Viladecans, Viladecans
Encantats de Begues, Begues
Castellers de Gavà, Gavà
Castellers de Castellar del Vallès, Castellar del Vallès
Castellers de Sant Adrià, Sant Adrià del Besos
Minyons de Santa Cristina d'Aro, Santa Cristina d'Aro
Esperxats de l'Estany, Banyoles
Xiquets de Cambrils, Cambrils
Castellers de l'Alt Maresme, Pineda de Mar
Trempats de la UPF, Barcelona
Penjats del Campus de Manresa, Manresa
Xiquets de Vila-seca, Vila-seca
Castellers del Prat de Llobregat, El Prat del Llobregat
Castellers de Santpedor, Santpedor
Castellers de Montcada i Reixac, Montcada i Reixac
Castellers d'Andorra, Andorra
Castellers de Tortosa, Tortosa
Colla Castellera de la Gavarresa, Artés
Bergants del Campus de Terrassa, Terrassa
Grillats del Campus del Baix Llobregat, Castelldefels
Colla Castellera La Bisbal del Penedès, La Bisbal del Penedès
Manyacs de Parets, Parets del Vallès
Castellers de les Gavarres, Llagostera
Xiquets de Montblanc, Montblanc
